"DataID","DeviceName","DeviceType","CurrentReading","DateRead"
"35","temp1","Temperature Sensor","32","2020-12-04 15:28:56"
"36","temp2","Temperature Sensor","23","2020-12-04 15:28:57"
"37","humidity2","Humidity Sensor","56","2020-12-04 15:28:57"
"38","humidity1","Humidity Sensor","35","2020-12-04 15:28:58"
"39","temp1","Temperature Sensor","31","2020-12-04 15:28:58"
"40","temp2","Temperature Sensor","23","2020-12-04 15:28:58"
"41","humidity1","Humidity Sensor","33","2020-12-04 15:28:59"
"42","humidity2","Humidity Sensor","45","2020-12-04 15:28:59"
"43","temp1","Temperature Sensor","37","2020-12-04 15:28:59"
"44","ldr","Light Intensity Sensor","821","2020-12-04 15:28:59"
"45","temp2","Temperature Sensor","25","2020-12-04 15:28:59"
"46","humidity1","Humidity Sensor","32","2020-12-04 15:29:00"
"47","temp1","Temperature Sensor","39","2020-12-04 15:29:00"
"48","humidity2","Humidity Sensor","61","2020-12-04 15:29:00"
"49","pump","Pump Actuator","0","2020-12-04 15:29:00"
"50","heater","Heater Actuator","0","2020-12-04 15:29:00"
"51","temp2","Temperature Sensor","23","2020-12-04 15:29:00"
"52","humidity1","Humidity Sensor","57","2020-12-04 15:29:01"
"53","temp1","Temperature Sensor","36","2020-12-04 15:29:01"
"54","humidity2","Humidity Sensor","78","2020-12-04 15:29:01"
"55","temp2","Temperature Sensor","25","2020-12-04 15:29:01"
"56","humidity1","Humidity Sensor","47","2020-12-04 15:29:02"
"57","humidity2","Humidity Sensor","49","2020-12-04 15:29:02"
"58","temp1","Temperature Sensor","35","2020-12-04 15:29:02"
"59","ldr","Light Intensity Sensor","826","2020-12-04 15:29:02"
"60","temp2","Temperature Sensor","24","2020-12-04 15:29:03"
"61","humidity1","Humidity Sensor","37","2020-12-04 15:29:03"
"62","humidity2","Humidity Sensor","63","2020-12-04 15:29:03"
"63","temp1","Temperature Sensor","30","2020-12-04 15:29:03"
"64","temp2","Temperature Sensor","20","2020-12-04 15:29:04"
"65","humidity1","Humidity Sensor","34","2020-12-04 15:29:04"
"66","humidity2","Humidity Sensor","68","2020-12-04 15:29:04"
"67","temp1","Temperature Sensor","36","2020-12-04 15:29:04"
"68","temp2","Temperature Sensor","28","2020-12-04 15:29:05"
"69","humidity1","Humidity Sensor","5","2020-12-04 15:29:05"
"70","humidity2","Humidity Sensor","60","2020-12-04 15:29:05"
"71","temp1","Temperature Sensor","30","2020-12-04 15:29:05"
"72","heater","Heater Actuator","0","2020-12-04 15:29:05"
"73","pump","Pump Actuator","0","2020-12-04 15:29:05"
"74","ldr","Light Intensity Sensor","392","2020-12-04 15:29:05"
"75","temp2","Temperature Sensor","30","2020-12-04 15:29:06"
"76","humidity1","Humidity Sensor","60","2020-12-04 15:29:06"
"77","humidity2","Humidity Sensor","47","2020-12-04 15:29:06"
"78","temp1","Temperature Sensor","40","2020-12-04 15:29:06"
"79","temp2","Temperature Sensor","24","2020-12-04 15:29:07"
"80","humidity1","Humidity Sensor","27","2020-12-04 15:29:07"
"81","humidity2","Humidity Sensor","77","2020-12-04 15:29:07"
"82","temp1","Temperature Sensor","37","2020-12-04 15:29:07"
"83","temp2","Temperature Sensor","23","2020-12-04 15:29:08"
"84","humidity1","Humidity Sensor","11","2020-12-04 15:29:08"
"85","humidity2","Humidity Sensor","50","2020-12-04 15:29:08"
"86","temp1","Temperature Sensor","39","2020-12-04 15:29:08"
"87","ldr","Light Intensity Sensor","880","2020-12-04 15:29:08"
"88","temp2","Temperature Sensor","26","2020-12-04 15:29:09"
"89","humidity1","Humidity Sensor","53","2020-12-04 15:29:09"
"90","humidity2","Humidity Sensor","41","2020-12-04 15:29:09"
"91","temp1","Temperature Sensor","32","2020-12-04 15:29:09"
"92","temp2","Temperature Sensor","23","2020-12-04 15:29:10"
"93","humidity1","Humidity Sensor","45","2020-12-04 15:29:10"
"94","humidity2","Humidity Sensor","87","2020-12-04 15:29:10"
"95","temp1","Temperature Sensor","32","2020-12-04 15:29:10"
"96","heater","Heater Actuator","0","2020-12-04 15:29:10"
"97","pump","Pump Actuator","1","2020-12-04 15:29:10"
"98","temp2","Temperature Sensor","30","2020-12-04 15:29:11"
"99","humidity2","Humidity Sensor","86","2020-12-04 15:29:11"
"100","humidity1","Humidity Sensor","5","2020-12-04 15:29:11"
"101","temp1","Temperature Sensor","36","2020-12-04 15:29:11"
"102","ldr","Light Intensity Sensor","843","2020-12-04 15:29:11"
"103","temp2","Temperature Sensor","23","2020-12-04 15:29:12"
"104","humidity1","Humidity Sensor","32","2020-12-04 15:29:12"
"105","humidity2","Humidity Sensor","68","2020-12-04 15:29:12"
"106","temp1","Temperature Sensor","34","2020-12-04 15:29:12"
"107","temp2","Temperature Sensor","25","2020-12-04 15:29:13"
"108","humidity1","Humidity Sensor","28","2020-12-04 15:29:13"
"109","humidity2","Humidity Sensor","45","2020-12-04 15:29:13"
"110","temp1","Temperature Sensor","33","2020-12-04 15:29:13"
"111","temp2","Temperature Sensor","30","2020-12-04 15:29:14"
"112","humidity2","Humidity Sensor","96","2020-12-04 15:29:14"
"113","humidity1","Humidity Sensor","34","2020-12-04 15:29:14"
"114","temp1","Temperature Sensor","34","2020-12-04 15:29:14"
"115","ldr","Light Intensity Sensor","140","2020-12-04 15:29:14"
"116","temp2","Temperature Sensor","21","2020-12-04 15:29:15"
"117","humidity2","Humidity Sensor","70","2020-12-04 15:29:15"
"118","humidity1","Humidity Sensor","47","2020-12-04 15:29:15"
"119","temp1","Temperature Sensor","34","2020-12-04 15:29:15"
"120","heater","Heater Actuator","1","2020-12-04 15:29:15"
"121","pump","Pump Actuator","1","2020-12-04 15:29:15"
"122","temp2","Temperature Sensor","23","2020-12-04 15:29:16"
"123","humidity2","Humidity Sensor","40","2020-12-04 15:29:16"
"124","humidity1","Humidity Sensor","16","2020-12-04 15:29:16"
"125","temp1","Temperature Sensor","39","2020-12-04 15:29:16"
"126","temp2","Temperature Sensor","25","2020-12-04 15:29:17"
"127","humidity2","Humidity Sensor","88","2020-12-04 15:29:17"
"128","humidity1","Humidity Sensor","53","2020-12-04 15:29:17"
"129","temp1","Temperature Sensor","32","2020-12-04 15:29:17"
"130","ldr","Light Intensity Sensor","216","2020-12-04 15:29:18"
"131","temp2","Temperature Sensor","23","2020-12-04 15:29:18"
"132","humidity2","Humidity Sensor","50","2020-12-04 15:29:18"
"133","humidity1","Humidity Sensor","27","2020-12-04 15:29:18"
"134","temp1","Temperature Sensor","39","2020-12-04 15:29:18"
"135","temp2","Temperature Sensor","26","2020-12-04 15:29:19"
"136","humidity2","Humidity Sensor","62","2020-12-04 15:29:19"
"137","temp1","Temperature Sensor","37","2020-12-04 15:29:19"
"138","humidity1","Humidity Sensor","60","2020-12-04 15:29:19"
"139","temp2","Temperature Sensor","21","2020-12-04 15:29:20"
"140","humidity2","Humidity Sensor","92","2020-12-04 15:29:20"
"141","humidity1","Humidity Sensor","13","2020-12-04 15:29:20"
"142","temp1","Temperature Sensor","38","2020-12-04 15:29:20"
"143","pump","Pump Actuator","0","2020-12-04 15:29:20"
"144","heater","Heater Actuator","0","2020-12-04 15:29:20"
"145","ldr","Light Intensity Sensor","951","2020-12-04 15:29:21"
"146","temp2","Temperature Sensor","28","2020-12-04 15:29:21"
"147","humidity2","Humidity Sensor","50","2020-12-04 15:29:21"
"148","temp1","Temperature Sensor","31","2020-12-04 15:29:21"
"149","humidity1","Humidity Sensor","57","2020-12-04 15:29:21"
"150","temp2","Temperature Sensor","29","2020-12-04 15:29:22"
"151","humidity2","Humidity Sensor","66","2020-12-04 15:29:22"
"152","temp1","Temperature Sensor","39","2020-12-04 15:29:22"
"153","humidity1","Humidity Sensor","20","2020-12-04 15:29:22"
"154","temp2","Temperature Sensor","21","2020-12-04 15:29:23"
"155","humidity2","Humidity Sensor","73","2020-12-04 15:29:23"
"156","temp1","Temperature Sensor","31","2020-12-04 15:29:23"
"157","humidity1","Humidity Sensor","28","2020-12-04 15:29:23"
"158","ldr","Light Intensity Sensor","113","2020-12-04 15:29:24"
"159","temp2","Temperature Sensor","25","2020-12-04 15:29:24"
"160","humidity2","Humidity Sensor","100","2020-12-04 15:29:24"
"161","temp1","Temperature Sensor","37","2020-12-04 15:29:24"
"162","humidity1","Humidity Sensor","32","2020-12-04 15:29:24"
"163","temp2","Temperature Sensor","25","2020-12-04 15:29:25"
"164","humidity2","Humidity Sensor","63","2020-12-04 15:29:25"
"165","temp1","Temperature Sensor","38","2020-12-04 15:29:25"
"166","humidity1","Humidity Sensor","7","2020-12-04 15:29:25"
"167","pump","Pump Actuator","0","2020-12-04 15:29:25"
"168","heater","Heater Actuator","1","2020-12-04 15:29:25"
"169","temp2","Temperature Sensor","24","2020-12-04 15:29:26"
"170","humidity2","Humidity Sensor","91","2020-12-04 15:29:26"
"171","temp1","Temperature Sensor","35","2020-12-04 15:29:26"
"172","humidity1","Humidity Sensor","41","2020-12-04 15:29:26"
"173","ldr","Light Intensity Sensor","872","2020-12-04 15:29:27"
"174","temp2","Temperature Sensor","21","2020-12-04 15:29:27"
"175","humidity2","Humidity Sensor","76","2020-12-04 15:29:27"
"176","temp1","Temperature Sensor","30","2020-12-04 15:29:27"
"177","humidity1","Humidity Sensor","39","2020-12-04 15:29:27"
"178","temp2","Temperature Sensor","22","2020-12-04 15:29:28"
"179","humidity2","Humidity Sensor","57","2020-12-04 15:29:28"
"180","temp1","Temperature Sensor","38","2020-12-04 15:29:28"
"181","humidity1","Humidity Sensor","38","2020-12-04 15:29:28"
"182","temp2","Temperature Sensor","24","2020-12-04 15:29:29"
"183","humidity2","Humidity Sensor","94","2020-12-04 15:29:29"
"184","temp1","Temperature Sensor","39","2020-12-04 15:29:29"
"185","humidity1","Humidity Sensor","41","2020-12-04 15:29:29"
"186","ldr","Light Intensity Sensor","805","2020-12-04 15:29:30"
"187","temp2","Temperature Sensor","30","2020-12-04 15:29:30"
"188","humidity2","Humidity Sensor","67","2020-12-04 15:29:30"
"189","temp1","Temperature Sensor","32","2020-12-04 15:29:30"
"190","humidity1","Humidity Sensor","5","2020-12-04 15:29:30"
"191","pump","Pump Actuator","1","2020-12-04 15:29:30"
"192","heater","Heater Actuator","1","2020-12-04 15:29:31"
"193","temp2","Temperature Sensor","27","2020-12-04 15:29:31"
"194","humidity2","Humidity Sensor","41","2020-12-04 15:29:31"
"195","temp1","Temperature Sensor","39","2020-12-04 15:29:31"
"196","humidity1","Humidity Sensor","57","2020-12-04 15:29:31"
"197","temp2","Temperature Sensor","22","2020-12-04 15:29:32"
"198","humidity2","Humidity Sensor","85","2020-12-04 15:29:32"
"199","temp1","Temperature Sensor","39","2020-12-04 15:29:32"
"200","humidity1","Humidity Sensor","22","2020-12-04 15:29:33"
"201","ldr","Light Intensity Sensor","851","2020-12-04 15:29:33"
"202","temp2","Temperature Sensor","22","2020-12-04 15:29:33"
"203","humidity2","Humidity Sensor","91","2020-12-04 15:29:33"
"204","temp1","Temperature Sensor","34","2020-12-04 15:29:33"
"205","humidity1","Humidity Sensor","43","2020-12-04 15:29:34"
"206","temp2","Temperature Sensor","23","2020-12-04 15:29:34"
"207","humidity2","Humidity Sensor","53","2020-12-04 15:29:34"
"208","temp1","Temperature Sensor","30","2020-12-04 15:29:35"
"209","humidity1","Humidity Sensor","52","2020-12-04 15:29:35"
"210","temp2","Temperature Sensor","20","2020-12-04 15:29:35"
"211","pump","Pump Actuator","1","2020-12-04 15:29:35"
"212","humidity2","Humidity Sensor","61","2020-12-04 15:29:35"
"213","heater","Heater Actuator","0","2020-12-04 15:29:36"
"214","temp1","Temperature Sensor","32","2020-12-04 15:29:36"
"215","humidity1","Humidity Sensor","42","2020-12-04 15:29:36"
"216","ldr","Light Intensity Sensor","114","2020-12-04 15:29:36"
"217","temp2","Temperature Sensor","24","2020-12-04 15:29:36"
"218","humidity2","Humidity Sensor","52","2020-12-04 15:29:37"
"219","temp1","Temperature Sensor","37","2020-12-04 15:29:37"
"220","humidity1","Humidity Sensor","48","2020-12-04 15:29:37"
"221","temp2","Temperature Sensor","24","2020-12-04 15:29:37"
"222","temp1","Temperature Sensor","32","2020-12-04 15:29:38"
"223","humidity2","Humidity Sensor","91","2020-12-04 15:29:38"
"224","humidity1","Humidity Sensor","58","2020-12-04 15:29:38"
"225","temp2","Temperature Sensor","27","2020-12-04 15:29:38"
"226","humidity2","Humidity Sensor","53","2020-12-04 15:29:39"
"227","temp1","Temperature Sensor","33","2020-12-04 15:29:39"
"228","humidity1","Humidity Sensor","20","2020-12-04 15:29:39"
"229","ldr","Light Intensity Sensor","390","2020-12-04 15:29:39"
"230","temp2","Temperature Sensor","26","2020-12-04 15:29:39"
"231","humidity2","Humidity Sensor","78","2020-12-04 15:29:40"
"232","temp1","Temperature Sensor","34","2020-12-04 15:29:40"
"233","humidity1","Humidity Sensor","57","2020-12-04 15:29:40"
"234","temp2","Temperature Sensor","25","2020-12-04 15:29:40"
"235","pump","Pump Actuator","1","2020-12-04 15:29:41"
"236","heater","Heater Actuator","0","2020-12-04 15:29:41"
"237","humidity2","Humidity Sensor","45","2020-12-04 15:29:41"
"238","temp1","Temperature Sensor","37","2020-12-04 15:29:41"
"239","humidity1","Humidity Sensor","32","2020-12-04 15:29:41"
"240","temp2","Temperature Sensor","21","2020-12-04 15:29:42"
"241","humidity2","Humidity Sensor","59","2020-12-04 15:29:42"
"242","temp1","Temperature Sensor","39","2020-12-04 15:29:42"
"243","ldr","Light Intensity Sensor","648","2020-12-04 15:29:42"
"244","humidity1","Humidity Sensor","15","2020-12-04 15:29:42"
"245","temp2","Temperature Sensor","20","2020-12-04 15:29:43"
"246","humidity2","Humidity Sensor","89","2020-12-04 15:29:43"
"247","temp1","Temperature Sensor","33","2020-12-04 15:29:43"
"248","humidity1","Humidity Sensor","7","2020-12-04 15:29:43"
"249","temp2","Temperature Sensor","20","2020-12-04 15:29:44"
"250","humidity2","Humidity Sensor","52","2020-12-04 15:29:44"
"251","temp1","Temperature Sensor","40","2020-12-04 15:29:44"
"252","humidity1","Humidity Sensor","52","2020-12-04 15:29:44"
"253","temp2","Temperature Sensor","23","2020-12-04 15:29:45"
"254","ldr","Light Intensity Sensor","810","2020-12-04 15:29:45"
"255","temp1","Temperature Sensor","38","2020-12-04 15:29:45"
"256","humidity2","Humidity Sensor","54","2020-12-04 15:29:45"
"257","humidity1","Humidity Sensor","10","2020-12-04 15:29:45"
"258","pump","Pump Actuator","1","2020-12-04 15:29:46"
"259","heater","Heater Actuator","1","2020-12-04 15:29:46"
"260","temp2","Temperature Sensor","28","2020-12-04 15:29:46"
"261","temp1","Temperature Sensor","35","2020-12-04 15:29:46"
"262","humidity2","Humidity Sensor","83","2020-12-04 15:29:46"
"263","humidity1","Humidity Sensor","7","2020-12-04 15:29:46"
"264","temp2","Temperature Sensor","21","2020-12-04 15:29:47"
"265","humidity2","Humidity Sensor","50","2020-12-04 15:29:47"
"266","temp1","Temperature Sensor","35","2020-12-04 15:29:47"
"267","humidity1","Humidity Sensor","34","2020-12-04 15:29:47"
"268","temp2","Temperature Sensor","21","2020-12-04 15:29:48"
"269","ldr","Light Intensity Sensor","885","2020-12-04 15:29:48"
"270","humidity2","Humidity Sensor","68","2020-12-04 15:29:48"
"271","temp1","Temperature Sensor","30","2020-12-04 15:29:48"
"272","humidity1","Humidity Sensor","51","2020-12-04 15:29:48"
"273","temp2","Temperature Sensor","25","2020-12-04 15:29:49"
"274","humidity2","Humidity Sensor","53","2020-12-04 15:29:49"
"275","temp1","Temperature Sensor","34","2020-12-04 15:29:49"
"276","humidity1","Humidity Sensor","16","2020-12-04 15:29:49"
"277","temp2","Temperature Sensor","25","2020-12-04 15:29:50"
"278","humidity2","Humidity Sensor","65","2020-12-04 15:29:50"
"279","temp1","Temperature Sensor","35","2020-12-04 15:29:50"
"280","humidity1","Humidity Sensor","46","2020-12-04 15:29:50"
"281","pump","Pump Actuator","0","2020-12-04 15:29:51"
"282","heater","Heater Actuator","0","2020-12-04 15:29:51"
"283","temp2","Temperature Sensor","21","2020-12-04 15:29:51"
"284","ldr","Light Intensity Sensor","860","2020-12-04 15:29:51"
"285","humidity2","Humidity Sensor","66","2020-12-04 15:29:51"
"286","temp1","Temperature Sensor","38","2020-12-04 15:29:51"
"287","humidity1","Humidity Sensor","41","2020-12-04 15:29:51"
"288","temp2","Temperature Sensor","25","2020-12-04 15:29:52"
"289","humidity2","Humidity Sensor","46","2020-12-04 15:29:52"
"290","temp1","Temperature Sensor","30","2020-12-04 15:29:52"
"291","humidity1","Humidity Sensor","45","2020-12-04 15:29:52"
"292","temp2","Temperature Sensor","24","2020-12-04 15:29:53"
"293","humidity2","Humidity Sensor","84","2020-12-04 15:29:53"
"294","temp1","Temperature Sensor","30","2020-12-04 15:29:53"
"295","humidity1","Humidity Sensor","43","2020-12-04 15:29:53"
"296","temp2","Temperature Sensor","26","2020-12-04 15:29:54"
"297","ldr","Light Intensity Sensor","25","2020-12-04 15:29:54"
"298","temp1","Temperature Sensor","40","2020-12-04 15:29:54"
"299","humidity2","Humidity Sensor","79","2020-12-04 15:29:54"
"300","humidity1","Humidity Sensor","59","2020-12-04 15:29:54"
"301","temp2","Temperature Sensor","25","2020-12-04 15:29:55"
"302","temp1","Temperature Sensor","36","2020-12-04 15:29:55"
"303","humidity2","Humidity Sensor","65","2020-12-04 15:29:55"
"304","humidity1","Humidity Sensor","55","2020-12-04 15:29:55"
"305","pump","Pump Actuator","1","2020-12-04 15:29:56"
"306","heater","Heater Actuator","1","2020-12-04 15:29:56"
"307","temp2","Temperature Sensor","25","2020-12-04 15:29:56"
"308","temp1","Temperature Sensor","33","2020-12-04 15:29:56"
"309","humidity2","Humidity Sensor","89","2020-12-04 15:29:56"
"310","humidity1","Humidity Sensor","7","2020-12-04 15:29:56"
"311","ldr","Light Intensity Sensor","19","2020-12-04 15:29:57"
"312","temp2","Temperature Sensor","24","2020-12-04 15:29:57"
"313","temp1","Temperature Sensor","40","2020-12-04 15:29:57"
"314","humidity2","Humidity Sensor","60","2020-12-04 15:29:57"
"315","humidity1","Humidity Sensor","59","2020-12-04 15:29:57"
"316","temp2","Temperature Sensor","23","2020-12-04 15:29:58"
"317","humidity2","Humidity Sensor","96","2020-12-04 15:29:58"
"318","temp1","Temperature Sensor","35","2020-12-04 15:29:58"
"319","humidity1","Humidity Sensor","12","2020-12-04 15:29:58"
"320","temp2","Temperature Sensor","30","2020-12-04 15:29:59"
"321","humidity2","Humidity Sensor","73","2020-12-04 15:29:59"
"322","temp1","Temperature Sensor","31","2020-12-04 15:29:59"
"323","humidity1","Humidity Sensor","40","2020-12-04 15:29:59"
"324","ldr","Light Intensity Sensor","302","2020-12-04 15:30:00"
"325","temp2","Temperature Sensor","25","2020-12-04 15:30:00"
"326","humidity2","Humidity Sensor","66","2020-12-04 15:30:00"
"327","temp1","Temperature Sensor","36","2020-12-04 15:30:00"
"328","humidity1","Humidity Sensor","16","2020-12-04 15:30:00"
"329","pump","Pump Actuator","0","2020-12-04 15:30:01"
"330","heater","Heater Actuator","1","2020-12-04 15:30:01"
"331","temp2","Temperature Sensor","26","2020-12-04 15:30:01"
"332","humidity2","Humidity Sensor","40","2020-12-04 15:30:01"
"333","temp1","Temperature Sensor","38","2020-12-04 15:30:01"
"334","humidity1","Humidity Sensor","54","2020-12-04 15:30:01"
"335","temp2","Temperature Sensor","21","2020-12-04 15:30:02"
"336","humidity2","Humidity Sensor","87","2020-12-04 15:30:02"
"337","temp1","Temperature Sensor","38","2020-12-04 15:30:02"
"338","humidity1","Humidity Sensor","49","2020-12-04 15:30:02"
"339","ldr","Light Intensity Sensor","955","2020-12-04 15:30:03"
"340","temp2","Temperature Sensor","27","2020-12-04 15:30:03"
"341","humidity2","Humidity Sensor","91","2020-12-04 15:30:03"
"342","temp1","Temperature Sensor","34","2020-12-04 15:30:03"
"343","humidity1","Humidity Sensor","27","2020-12-04 15:30:03"
"344","temp2","Temperature Sensor","29","2020-12-04 15:30:04"
"345","humidity2","Humidity Sensor","48","2020-12-04 15:30:04"
"346","temp1","Temperature Sensor","34","2020-12-04 15:30:04"
"347","humidity1","Humidity Sensor","32","2020-12-04 15:30:04"
"348","temp2","Temperature Sensor","25","2020-12-04 15:30:05"
"349","humidity2","Humidity Sensor","45","2020-12-04 15:30:05"
"350","temp1","Temperature Sensor","40","2020-12-04 15:30:05"
"351","humidity1","Humidity Sensor","30","2020-12-04 15:30:05"
"352","pump","Pump Actuator","0","2020-12-04 15:30:06"
"353","heater","Heater Actuator","1","2020-12-04 15:30:06"
"354","ldr","Light Intensity Sensor","638","2020-12-04 15:30:06"
"355","temp2","Temperature Sensor","25","2020-12-04 15:30:06"
"356","temp1","Temperature Sensor","32","2020-12-04 15:30:06"
"357","humidity2","Humidity Sensor","89","2020-12-04 15:30:06"
"358","humidity1","Humidity Sensor","9","2020-12-04 15:30:06"
"359","temp2","Temperature Sensor","22","2020-12-04 15:30:07"
"360","humidity2","Humidity Sensor","94","2020-12-04 15:30:07"
"361","temp1","Temperature Sensor","39","2020-12-04 15:30:07"
"362","humidity1","Humidity Sensor","44","2020-12-04 15:30:07"
"363","temp2","Temperature Sensor","20","2020-12-04 15:30:08"
"364","humidity2","Humidity Sensor","76","2020-12-04 15:30:08"
"365","temp1","Temperature Sensor","35","2020-12-04 15:30:08"
"366","humidity1","Humidity Sensor","20","2020-12-04 15:30:08"
"367","ldr","Light Intensity Sensor","731","2020-12-04 15:30:09"
"368","temp2","Temperature Sensor","24","2020-12-04 15:30:09"
"369","humidity2","Humidity Sensor","68","2020-12-04 15:30:09"
"370","humidity1","Humidity Sensor","53","2020-12-04 15:30:09"
"371","temp1","Temperature Sensor","36","2020-12-04 15:30:09"
"372","temp2","Temperature Sensor","27","2020-12-04 15:30:10"
"373","humidity2","Humidity Sensor","53","2020-12-04 15:30:10"
"374","temp1","Temperature Sensor","30","2020-12-04 15:30:10"
"375","humidity1","Humidity Sensor","6","2020-12-04 15:30:10"
"376","pump","Pump Actuator","1","2020-12-04 15:30:11"
"377","heater","Heater Actuator","0","2020-12-04 15:30:11"
"378","temp2","Temperature Sensor","28","2020-12-04 15:30:11"
"379","humidity2","Humidity Sensor","61","2020-12-04 15:30:11"
"380","humidity1","Humidity Sensor","8","2020-12-04 15:30:11"
"381","temp1","Temperature Sensor","31","2020-12-04 15:30:11"
"382","ldr","Light Intensity Sensor","271","2020-12-04 15:30:12"
"383","temp2","Temperature Sensor","26","2020-12-04 15:30:12"
"384","humidity2","Humidity Sensor","93","2020-12-04 15:30:12"
"385","humidity1","Humidity Sensor","12","2020-12-04 15:30:12"
"386","temp1","Temperature Sensor","35","2020-12-04 15:30:12"
"387","temp2","Temperature Sensor","20","2020-12-04 15:30:13"
"388","humidity2","Humidity Sensor","74","2020-12-04 15:30:13"
"389","humidity1","Humidity Sensor","60","2020-12-04 15:30:13"
"390","temp1","Temperature Sensor","35","2020-12-04 15:30:14"
"391","temp2","Temperature Sensor","23","2020-12-04 15:30:14"
"392","humidity2","Humidity Sensor","49","2020-12-04 15:30:15"
"393","humidity1","Humidity Sensor","31","2020-12-04 15:30:15"
"394","temp1","Temperature Sensor","37","2020-12-04 15:30:15"
"395","ldr","Light Intensity Sensor","645","2020-12-04 15:30:15"
"396","temp2","Temperature Sensor","27","2020-12-04 15:30:15"
"397","humidity1","Humidity Sensor","10","2020-12-04 15:30:16"
"398","humidity2","Humidity Sensor","58","2020-12-04 15:30:16"
"399","temp1","Temperature Sensor","37","2020-12-04 15:30:16"
"400","pump","Pump Actuator","0","2020-12-04 15:30:16"
"401","heater","Heater Actuator","1","2020-12-04 15:30:16"
"402","temp2","Temperature Sensor","21","2020-12-04 15:30:16"
"403","humidity1","Humidity Sensor","20","2020-12-04 15:30:17"
"404","humidity2","Humidity Sensor","69","2020-12-04 15:30:17"
"405","temp1","Temperature Sensor","30","2020-12-04 15:30:17"
"406","temp2","Temperature Sensor","29","2020-12-04 15:30:17"
"407","humidity1","Humidity Sensor","50","2020-12-04 15:30:18"
"408","humidity2","Humidity Sensor","93","2020-12-04 15:30:18"
"409","temp1","Temperature Sensor","30","2020-12-04 15:30:18"
"410","ldr","Light Intensity Sensor","170","2020-12-04 15:30:18"
"411","temp2","Temperature Sensor","23","2020-12-04 15:30:18"
"412","humidity1","Humidity Sensor","14","2020-12-04 15:30:19"
"413","humidity2","Humidity Sensor","52","2020-12-04 15:30:19"
"414","temp1","Temperature Sensor","40","2020-12-04 15:30:19"
"415","temp2","Temperature Sensor","28","2020-12-04 15:30:19"
"416","humidity2","Humidity Sensor","41","2020-12-04 15:30:20"
"417","humidity1","Humidity Sensor","7","2020-12-04 15:30:20"
"418","temp1","Temperature Sensor","35","2020-12-04 15:30:20"
"419","temp2","Temperature Sensor","25","2020-12-04 15:30:20"
"420","humidity2","Humidity Sensor","100","2020-12-04 15:30:21"
"421","humidity1","Humidity Sensor","16","2020-12-04 15:30:21"
"422","temp1","Temperature Sensor","32","2020-12-04 15:30:21"
"423","pump","Pump Actuator","0","2020-12-04 15:30:21"
"424","heater","Heater Actuator","0","2020-12-04 15:30:21"
"425","ldr","Light Intensity Sensor","137","2020-12-04 15:30:21"
"426","temp2","Temperature Sensor","24","2020-12-04 15:30:21"
"427","humidity2","Humidity Sensor","80","2020-12-04 15:30:22"
"428","humidity1","Humidity Sensor","60","2020-12-04 15:30:22"
"429","temp1","Temperature Sensor","37","2020-12-04 15:30:22"
"430","temp2","Temperature Sensor","26","2020-12-04 15:30:23"
